LLB,SBI,AFC,LASD,LLSD,material_id,formula,num_elements,bandgap,energy_above_hull,formation_energy_per_atom
0.0,0.0,2.4,2.5799921296424357,0.0,mp-1185263,Li1 Pa1 O3,3,3.1954,0.0,-3.339490445666668
0.0,1.4640000000000004,4.8,1.8982253566368708,0.0,mp-23818,Ba1 Li1 H3,3,2.2146,0.0,-0.6094920114166651
0.0,2.1333333333333337,3.333333333333333,3.0016297613919494,3.976074539091352,mp-644419,Li4 H4 S4,3,3.8142,0.0,-0.934918467777778
0.0,1.6000000000000003,4.0,3.4774671595858755,4.359195014357172,mp-1106183,Li4 Al4 S8,3,4.1061,0.0,-1.530500146458333
0.0,1.57,4.0,3.6722029496656696,4.606146138426547,mp-11582,Li4 Ga4 Se8,3,2.0656,0.0,-1.063571209322917
0.0,1.6000000000000003,4.0,3.6428539280516734,4.567042882701453,mp-1188392,Li4 In4 S8,3,2.187499999999999,0.0,-1.182090984374999
0.0,1.6000000000000003,4.0,3.486521098167396,4.371680789523913,mp-3647,Li4 Ga4 S8,3,2.9608,0.0,-1.276394505208333
0.0,2.4600000000000004,4.0,2.840070822169853,3.5527748197005926,mp-5854,Li4 Ga4 O8,3,3.1981,0.0,-2.378874777083333
0.0,1.57,4.0,3.664002446422944,4.5956242955387925,mp-7117,Li4 Al4 Se8,3,3.0233,0.0,-1.276307118072917
0.0,1.3733333333333333,4.0,2.5854953704217998,3.0711748091872275,mp-1020059,Li2 Ge4 N6,3,2.763,0.0,-0.50848024388889
0.0,1.405714285714286,2.571428571428572,2.726987520849925,3.3022724359966995,mp-772968,Li2 Tl2 P2 H2 O6,5,3.992199999999999,0.0,-1.983996135365648
0.0,0.8200000000000002,3.6666666666666665,4.398280002375024,5.405061347595935,mp-1195542,Rb8 Li4 Nd4 B8 O24,5,4.255299999999999,0.0,-2.850369563888888
